customer_id,customer_first_name,customer_last_name,customer_email,customer_postcode,registration_date,customer_phone,customer_address,customer_city
30842q,Diann,Bartholomew,dbartholomew3@ucla.edu,M4 4BE,12-06-2021,7318424515,"606 Piccadilly, Manchester",Manchester
91921x,Jodie,Pirie,jpirie4@jugem.jp,EH3 9DP,4/19/2020,7075784301,"2525 Grassmarket, Edinburgh",Edinburgh
45672n,Bernice,Russell,brussell5@usnews.com,M2 5QR,1/16/2020,7785148246,"404 Deansgate, Manchester",Manchester
48745d,Leann,Caulier,lcaulier6@dailymotion.com,M3 4LH,01-06-2020,7186927685,"505 Market Street, Manchester",Manchester
97696g,Ab,Whitsey,awhitsey7@simplemachines.org,EH2 2JY,4/22/2021,7466830994,"2424 Rose Street, Edinburgh",Edinburgh
51188v,Katee,Satterley,ksatterley8@cpanel.net,L5 2SU,3/13/2020,7052930773,"1717 Whitechapel, Liverpool",Liverpool
09157y,Letizia,Bastow,lbastow9@google.com.hk,NE3 1LF,10-11-2020,7581099359,"4545 Jesmond Road, Newcastle",Newcastle
32283g,Aretha,Forrest,aforresta@1688.com,M1 1AA,02-10-2021,7473534325,"303 Oxford Road, Manchester",Manchester
75825u,Aymer,Fasson,afassonb@bbb.org,L3 5TR,12-06-2021,7446775675,"1515 Albert Dock, Liverpool",Liverpool
57146f,Nona,Minichillo,nminichilloc@dropbox.com,EH3 9DP,3/27/2020,7829234672,"2525 Grassmarket, Edinburgh",Edinburgh
09903v,Alon,Everly,aeverlyd@google.com,S4 7YU,3/19/2022,7212376168,"4141 Sharrow Vale Road, Sheffield",Sheffield
61619r,Beulah,Freestone,bfreestonee@seattletimes.com,BS4 3JP,1/14/2021,7537181007,"3131 Gloucester Road, Bristol",Bristol
04537j,Wilone,Coffee,wcoffeef@tinyurl.com,S4 7YU,06-04-2020,7309672618,"4141 Sharrow Vale Road, Sheffield",Sheffield
12116r,Salome,Balloch,sballochg@prweb.com,BS2 0NW,05-06-2022,7152199516,"2929 Park Street, Bristol",Bristol
96093d,Myron,Blackler,mblacklerh@mediafire.com,B5 5SE,04-06-2022,7038470553,"1212 St. Martin's Lane, Birmingham",Birmingham
39884g,Nikola,Jeandel,njeandeli@cornell.edu,BS4 3JP,5/16/2020,7111400676,"3131 Gloucester Road, Bristol",Bristol
97146x,Erinna,Shrawley,eshrawleyj@themeforest.net,S1 2DS,06-12-2020,7752328912,"3838 Division Street, Sheffield",Sheffield
65425n,Dianna,Dare,ddarek@seattletimes.com,L1 4BU,03-02-2020,7765972932,"1313 Liverpool One, Liverpool",Liverpool
89513e,Valentina,Manclark,vmanclarkl@unesco.org,E1 6AN,10/24/2021,7289387914,"123 Brick Lane, London",London
19560r,Elita,Wager,ewagerm@homestead.com,LS2 7PU,11-01-2021,7284627855,"3434 Headrow, Leeds",Leeds
05470e,Stanfield,Fortey,sforteyn@columbia.edu,L3 5TR,5/20/2021,7385604991,"1515 Albert Dock, Liverpool",Liverpool
76537i,Barrett,Spellard,bspellardo@amazon.co.uk,NE1 4ST,6/14/2021,7516849095,"4343 Grainger Street, Newcastle",Newcastle
73496p,Tracey,Jurek,tjurekp@freewebs.com,G1 1DA,10-07-2020,7298835871,"1818 Buchanan Street, Glasgow",Glasgow
50935w,Nataniel,Lempenny,nlempennyq@paginegialle.it,S2 5QT,05-04-2021,7808466701,"3939 Fargate, Sheffield",Sheffield
38964c,Janeczka,Prebble,jprebbler@globo.com,S1 2DS,04-03-2022,7348559599,"3838 Division Street, Sheffield",Sheffield
70849a,Thaine,Hackney,thackneys@ebay.co.uk,LS4 2AR,6/19/2021,7813279038,"3636 Woodhouse Lane, Leeds",Leeds
86200y,Giorgi,Kynman,gkynmant@usa.gov,NW1 2PN,09-08-2020,7214476958,"789 Camden Road, London",London
41589h,Mychal,Gavrielli,mgavrielliu@vimeo.com,S5 8QZ,3/28/2020,7838747524,"4242 Ecclesall Road, Sheffield",Sheffield
92348m,Chalmers,Chipchase,cchipchasev@reference.com,NE4 6TA,12/16/2021,7865361511,"4646 Fenkle Street, Newcastle",Newcastle
66812h,Mill,Clutram,mclutramw@csmonitor.com,LS5 3HG,7/13/2020,7182513092,"3737 Kirkstall Road, Leeds",Leeds
99498p,Rebecka,Mathias,rmathiasx@last.fm,M1 1AA,2/15/2020,7692087560,"303 Oxford Road, Manchester",Manchester
58686s,Hurlee,Puleston,hpulestony@cafepress.com,M5 4NU,03-10-2022,7006485806,"707 Oxford Road, Manchester",Manchester
77733q,Bessie,Burfitt,bburfittz@yellowpages.com,S4 7YU,12-12-2021,7777265818,"4141 Sharrow Vale Road, Sheffield",Sheffield
83161t,Lizabeth,Overington,loverington10@is.gd,G2 3BW,4/25/2020,7538672897,"1919 Sauchiehall Street, Glasgow",Glasgow
74833d,Isis,McCreadie,imccreadie11@dropbox.com,BS4 3JP,08-09-2021,7349067217,"3131 Gloucester Road, Bristol",Bristol
